Disease,Diet_1,Diet_2,Diet_3,Diet_4,Diet_5
Rare Disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
abdominal aortic aneurysm,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
abdominal hernia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
abscess of nose,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
abscess of the lung,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
abscess of the pharynx,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acanthosis nigricans,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acariasis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
achalasia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acne,Reduce dairy and high-glycemic foods,Eat more fruits and vegetables,Drink plenty of water,Include zinc-rich foods like pumpkin seeds,Avoid sugary beverages
actinic keratosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute bronchiolitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute bronchitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute bronchospasm,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute fatty liver of pregnancy (aflp),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute glaucoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute kidney injury,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute otitis media,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute pancreatitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute respiratory distress syndrome (ards),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute sinusitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
acute stress reaction,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
adhesive capsulitis of the shoulder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
adjustment reaction,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
adrenal adenoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
alcohol abuse,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
alcohol intoxication,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
alcohol withdrawal,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
alcoholic liver disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
allergy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
allergy to animals,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
alopecia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
alzheimer disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
amblyopia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
amyotrophic lateral sclerosis (als),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
anal fissure,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
anal fistula,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
anemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
anemia due to chronic kidney disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
anemia due to malignancy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
anemia of chronic disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
angina,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ankylosing spondylitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
anxiety,"Magnesium-rich foods (spinach, almonds)",Omega-3 fatty acids,Avoid caffeine and alcohol,Chamomile tea,"Probiotics (yogurt, kefir)"
aortic valve disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
aphakia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
aphthous ulcer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
